,states,percent_act_part_2018,act_composite_2018,sat_participation_2018,sat_reading_2018,sat_math_2018,sat_total_2018,percent_act_part_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_participation_2017,sat_reading_2017,sat_math_2017,sat_total_2017
0,alabama,100.0,19.1,6.0,595.0,571.0,1166.0,100.0,18.9,18.4,19.7,19.4,19.2,5.0,593.0,572.0,1165.0
1,alaska,33.0,20.8,43.0,562.0,544.0,1106.0,65.0,18.7,19.8,20.4,19.9,19.8,38.0,547.0,533.0,1080.0
2,arizona,66.0,19.2,29.0,577.0,572.0,1149.0,62.0,18.6,19.8,20.1,19.8,19.7,30.0,563.0,553.0,1116.0
3,arkansas,100.0,19.4,5.0,592.0,576.0,1169.0,100.0,18.9,19.0,19.7,19.5,19.4,3.0,614.0,594.0,1208.0
4,california,27.0,22.7,60.0,540.0,536.0,1076.0,31.0,22.5,22.7,23.1,22.2,22.8,53.0,531.0,524.0,1055.0
5,colorado,30.0,23.9,100.0,519.0,506.0,1025.0,100.0,20.1,20.3,21.2,20.9,20.8,11.0,606.0,595.0,1201.0
6,connecticut,26.0,25.6,100.0,535.0,519.0,1053.0,31.0,25.5,24.6,25.6,24.6,25.2,100.0,530.0,512.0,1041.0
7,delaware,17.0,23.8,100.0,505.0,492.0,998.0,18.0,24.1,23.4,24.8,23.6,24.1,100.0,503.0,492.0,996.0
8,district of columbia,32.0,23.6,92.0,497.0,480.0,977.0,32.0,24.4,23.5,24.9,23.5,24.2,100.0,482.0,468.0,950.0
9,florida,66.0,19.9,56.0,550.0,549.0,1099.0,73.0,19.0,19.4,21.0,19.4,19.8,83.0,520.0,497.0,1017.0
10,georgia,53.0,21.4,70.0,542.0,522.0,1064.0,55.0,21.0,20.9,22.0,21.3,21.4,61.0,535.0,515.0,1050.0
11,hawaii,89.0,18.9,56.0,480.0,530.0,1010.0,90.0,17.8,19.2,19.2,19.3,19.0,55.0,544.0,541.0,1085.0
12,idaho,36.0,22.3,100.0,508.0,493.0,1001.0,38.0,21.9,21.8,23.0,22.1,22.3,93.0,513.0,493.0,1005.0
13,illinois,43.0,23.9,99.0,513.0,506.0,1019.0,93.0,21.0,21.2,21.6,21.3,21.4,9.0,559.0,556.0,1115.0
14,indiana,32.0,22.5,63.0,542.0,532.0,1074.0,35.0,22.0,22.4,23.2,22.3,22.6,63.0,542.0,532.0,1074.0
15,iowa,68.0,21.8,3.0,634.0,631.0,1265.0,67.0,21.2,21.3,22.6,22.1,21.9,2.0,641.0,635.0,1275.0
16,kansas,71.0,21.6,4.0,633.0,631.0,1265.0,73.0,21.1,21.3,22.3,21.7,21.7,4.0,632.0,628.0,1260.0
17,kentucky,100.0,20.2,4.0,630.0,618.0,1248.0,100.0,19.6,19.4,20.5,20.1,20.0,4.0,631.0,616.0,1247.0
18,louisiana,100.0,19.2,4.0,615.0,595.0,1210.0,100.0,19.4,18.8,19.8,19.6,19.5,4.0,611.0,586.0,1198.0
19,maine,7.0,24.0,99.0,512.0,501.0,1013.0,8.0,24.2,24.0,24.8,23.7,24.3,95.0,513.0,499.0,1012.0
20,maryland,31.0,22.5,76.0,545.0,535.0,1080.0,28.0,23.3,23.1,24.2,2.3,23.6,69.0,536.0,524.0,1060.0
21,massachusetts,25.0,25.5,80.0,562.0,563.0,1125.0,29.0,25.4,25.3,25.9,24.7,25.4,76.0,555.0,551.0,1107.0
22,michigan,22.0,24.2,100.0,511.0,499.0,1011.0,29.0,24.1,23.7,24.5,23.8,24.1,100.0,509.0,495.0,1005.0
23,minnesota,99.0,21.3,4.0,643.0,655.0,1298.0,100.0,20.4,21.5,21.8,21.6,21.5,3.0,644.0,651.0,1295.0
24,mississippi,100.0,18.6,3.0,630.0,606.0,1236.0,100.0,18.2,18.1,18.8,18.8,18.6,2.0,634.0,607.0,1242.0
25,missouri,100.0,20.0,4.0,633.0,629.0,1262.0,100.0,19.8,19.9,20.8,20.5,20.4,3.0,640.0,631.0,1271.0
26,montana,100.0,20.0,10.0,606.0,592.0,1198.0,100.0,19.0,20.2,21.0,20.5,20.3,10.0,605.0,591.0,1196.0
27,nebraska,100.0,20.1,3.0,629.0,623.0,1252.0,84.0,20.9,20.9,21.9,21.5,21.4,3.0,629.0,625.0,1253.0
28,nevada,100.0,17.7,23.0,574.0,566.0,1140.0,100.0,16.3,18.0,18.1,18.2,17.8,26.0,563.0,553.0,1116.0
29,new hampshire,16.0,25.1,96.0,535.0,528.0,1063.0,18.0,25.4,25.1,26.0,24.9,25.5,96.0,532.0,520.0,1052.0
30,new jersey,31.0,23.7,82.0,547.0,547.0,1094.0,34.0,23.8,23.8,24.1,23.2,23.9,70.0,530.0,526.0,1056.0
31,new mexico,67.0,19.4,16.0,552.0,540.0,1093.0,66.0,18.6,19.4,20.4,20.0,19.7,11.0,577.0,561.0,1138.0
32,new york,27.0,24.5,79.0,534.0,534.0,1068.0,31.0,23.8,24.0,24.6,23.9,24.2,67.0,528.0,523.0,1052.0
33,north carolina,100.0,19.1,52.0,554.0,543.0,1098.0,100.0,17.8,19.3,19.6,19.3,19.1,49.0,546.0,535.0,1081.0
34,north dakota,98.0,20.3,2.0,640.0,643.0,1283.0,98.0,19.0,20.4,20.5,20.6,20.3,2.0,635.0,621.0,1256.0
35,ohio,100.0,20.3,18.0,552.0,547.0,1099.0,75.0,21.2,21.6,22.5,22.0,22.0,12.0,578.0,570.0,1149.0
36,oklahoma,100.0,19.3,8.0,541.0,521.0,1062.0,100.0,18.5,18.8,20.1,19.6,19.4,7.0,530.0,517.0,1047.0
